Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter,Case Thickness,Band Width,Dial Color,Crystal Material,Complications,Power Reserve,Price,Complication_Score,Luxury_Index,Movement_Complexity,Case_Proportion,Dial_Score,Material_Match,Has_Power_Reserve,Case_Size_Category,Has_Complication,Brand_Tier_encoded,Water_Tier_encoded,Brand_Tier_Mid-Range,Brand_Tier_Other,Brand_Tier_Very High-End,Water_Tier_Professional,Water_Tier_Standard,Brand_Case,Material_Luxury,HighEnd_Dial,Power_Material
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,['None'],60.0,8500.0,0,11,1,3.333330623308436,5,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['Date'],102.5,14000.0,1,10,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,24.0,Blue,Sapphire,['Chronograph'],72.0,16000.0,3,15,1,3.034480665875403,5,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,44.0,15.65,24.0,Black,Sapphire,['None'],72.0,8500.0,0,11,1,2.8114998009585936,3,0,1,2,0,1,1,True,False,False,True,False,2.8114998009585936,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,Silver,Sapphire,['Chronograph'],50.0,6000.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
Piaget,Altiplano,White Gold,Leather,Manual,30,38.0,6.1,20.0,Silver,Sapphire,['None'],43.0,16500.0,0,14,1,6.229497984429535,3,0,1,1,0,2,0,False,True,False,False,False,12.45899596885907,0,0,0
Seiko,Prospex,Stainless Steel,Rubber,Automatic,200,44.3,12.7,20.0,Blue,Sapphire,['Day/Date'],41.0,1200.0,1,11,1,3.4881862297746222,5,0,1,2,1,1,1,True,False,False,True,False,3.4881862297746222,0,0,0
Panerai,Luminor Due,Stainless Steel,Leather,Automatic,30,38.0,11.2,20.0,Black,Sapphire,['None'],72.0,6500.0,0,11,1,3.3928541135231134,3,0,1,1,0,1,0,True,False,False,False,False,3.3928541135231134,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,"['Chronograph', 'Moon Phase']",46.0,9800.0,5,16,1,3.333330623308436,5,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Blancpain,Fifty Fathoms,Titanium,Rubber,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['None'],102.5,16800.0,0,12,1,2.903223933403914,3,0,1,2,0,0,1,False,False,False,True,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.5,20.0,Black,Sapphire,['Date'],60.0,19800.0,1,10,1,4.315784930752705,3,1,1,2,1,3,0,False,False,True,False,False,12.947354792258114,10,3,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,10,5,1
Breguet,Classique,Rose Gold,Leather,Automatic,30,40.0,6.8,20.0,White,Sapphire,['None'],55.0,19000.0,0,14,1,5.8823442906701615,4,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30,40.0,6.79,20.0,Silver,Sapphire,['None'],65.0,18500.0,0,14,1,5.8910075242893605,3,0,1,1,0,3,0,False,False,True,False,False,17.67302257286808,0,3,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,44.0,14.97,22.0,Black,Sapphire,['Chronograph'],42.0,5800.0,3,14,1,2.9392097934470316,3,0,1,2,1,1,0,True,False,False,False,False,2.9392097934470316,0,0,0
Longines,Conquest,Stainless Steel,Stainless Steel,Automatic,225,41.0,13.2,20.0,Black,Sapphire,['Chronograph'],54.0,2200.0,3,12,1,3.1060582529861724,3,1,1,2,1,1,1,True,False,False,True,False,3.1060582529861724,12,0,1
Montblanc,1858,Stainless Steel,Leather,Manual,30,44.0,12.3,22.0,Black,Sapphire,['None'],50.0,3500.0,0,11,1,3.5772328640383217,3,0,1,2,0,1,0,True,False,False,False,False,3.5772328640383217,0,0,0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,"['GMT', 'Date']",70.0,9950.0,3,12,1,3.199997440002048,3,1,1,1,1,0,2,False,False,False,False,True,0.0,12,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.7,20.0,Black,Non-Sapphire,['Chronograph'],48.0,4950.0,3,9,1,3.065691192926137,3,1,1,2,1,0,0,False,False,False,False,False,0.0,9,0,1
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.915656728124423,5,1,1,2,1,3,2,False,False,True,False,True,14.74697018437327,10,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,22000.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,['None'],46.0,7500.0,0,11,1,3.333330623308436,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.58,20.0,Silver,Sapphire,['Date'],70.0,8900.0,1,12,1,5.145111945762605,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,['Date'],102.5,13900.0,1,10,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Breguet,Classique,Rose Gold,Leather,Manual,30,40.0,6.8,20.0,Silver,Sapphire,['None'],65.0,20500.0,0,14,1,5.8823442906701615,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Ulysse Nardin,Marine,Titanium,Rubber,Automatic,225,44.0,14.5,22.0,Blue,Sapphire,['Date'],60.0,9500.0,1,13,1,3.034480665875403,5,0,1,2,1,1,1,True,False,False,True,False,3.034480665875403,0,0,0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100,41.0,14.5,20.0,Black,Sapphire,['Chronograph'],72.0,16000.0,3,15,1,2.8275842568384437,3,0,1,2,1,1,2,True,False,False,False,True,2.8275842568384437,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.75,20.0,White,Sapphire,['Chronograph'],50.0,5500.0,3,14,1,2.980389819302103,4,0,1,1,1,2,2,False,True,False,False,True,5.960779638604206,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,41.0,11.8,20.0,Black,Sapphire,['Date'],70.0,8200.0,1,10,1,3.474573326632774,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50,42.0,13.2,20.0,Black,Non-Sapphire,"['Chronograph', 'Tachymeter']",48.0,5500.0,5,11,1,3.1818157713516886,3,1,1,2,1,0,0,False,False,False,False,False,0.0,11,0,1
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30,37.0,9.96,18.0,Silver,Sapphire,['Date'],42.0,6500.0,1,10,1,3.714855707976197,3,1,1,1,1,1,0,True,False,False,False,False,3.714855707976197,10,0,1
Breitling,Superocean,Stainless Steel,Rubber,Automatic,225,42.0,13.32,20.0,Blue,Sapphire,['Date'],38.0,3600.0,1,11,1,3.1531507859228336,5,0,1,2,1,1,1,True,False,False,True,False,3.1531507859228336,0,0,0
Patek Philippe,Calatrava,Rose Gold,Leather,Manual,30,37.0,7.45,18.0,White,Sapphire,['None'],44.0,18000.0,0,14,1,4.966436286662702,4,0,1,1,0,3,0,False,False,True,False,False,14.899308859988107,0,4,0
Hublot,Big Bang,Titanium,Rubber,Automatic,100,42.0,14.5,24.0,Black,Sapphire,"['Chronograph', 'Date']",72.0,8900.0,4,16,1,2.89654972651743,3,0,1,2,1,1,2,True,False,False,False,True,2.89654972651743,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.4,23.0,Black,Sapphire,"['Date', 'Rotating Bezel']",102.5,13500.0,2,11,1,2.922076024625958,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,['Date'],60.0,26000.0,1,10,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,5,1
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,22.0,Black,Sapphire,['Chronograph'],50.0,6500.0,3,14,1,3.294115063439166,3,0,1,2,1,2,2,False,True,False,False,True,6.588230126878332,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.5,12.3,22.0,Silver,Sapphire,['None'],60.0,7800.0,0,11,1,3.373980996763417,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,38.0,7.58,20.0,Silver,Sapphire,['None'],70.0,4500.0,0,11,1,5.013185998435358,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,['Date'],45.0,29800.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Black,Sapphire,['Date'],60.0,23100.0,1,10,1,4.18366920033755,3,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,3,1
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,['None'],60.0,7950.0,0,11,1,3.333330623308436,3,0,1,2,0,0,0,False,False,False,False,False,0.0,0,0,0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.5,11.0,22.0,Blue,Sapphire,['Date'],40.0,18900.0,1,11,1,3.7727238429783245,5,0,1,2,1,3,2,False,False,True,False,True,11.318171528934974,0,5,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['Date'],102.5,12800.0,1,10,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,['Chronograph'],72.0,17900.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
Breguet,Classique,Rose Gold,Leather,Manual,30,39.0,8.65,20.0,Silver,Sapphire,['None'],40.0,15200.0,0,14,1,4.508665307901378,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100,42.2,14.2,22.0,Blue,Sapphire,['Date'],60.0,8400.0,1,12,1,2.9718288930782446,5,0,1,2,1,1,2,True,False,False,False,True,2.9718288930782446,0,0,0
Zenith,Defy,Titanium,Rubber,Automatic,100,41.0,10.75,22.0,Blue,Sapphire,['Chronograph'],50.0,9500.0,3,15,1,3.8139499405116832,5,0,1,2,1,2,2,False,True,False,False,True,7.6278998810233665,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Silver,Sapphire,['None'],46.0,9200.0,0,9,1,3.8602905695858736,3,1,1,2,0,0,2,False,False,False,False,True,0.0,9,0,1
Panerai,Luminor,Stainless Steel,Leather,Manual,100,44.0,13.05,24.0,Black,Sapphire,['None'],56.0,7500.0,0,11,1,3.3716449259425856,3,0,1,2,0,1,2,True,False,False,False,True,3.3716449259425856,0,0,0
Seiko,Prospex,Stainless Steel,Rubber,Automatic,200,43.0,13.2,22.0,Blue,Non-Sapphire,['Date'],50.0,1300.0,1,8,1,3.257573289717205,5,0,1,2,1,1,1,True,False,False,True,False,3.257573289717205,0,0,0
Tissot,Le Locle,Stainless Steel,Leather,Automatic,30,39.3,9.75,20.0,Silver,Sapphire,['Date'],38.0,650.0,1,12,1,4.030765096651183,3,0,1,1,1,2,0,False,True,False,False,False,8.061530193302366,0,0,0
Longines,Master Collection,Stainless Steel,Leather,Automatic,30,40.0,10.25,20.0,Black,Sapphire,['Date'],64.0,2500.0,1,12,1,3.902435217136374,3,0,1,1,1,1,0,True,False,False,False,False,3.902435217136374,0,0,0
Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,50,40.0,11.15,20.0,Silver,Sapphire,['Date'],80.0,1150.0,1,12,1,3.5874407287527097,3,0,1,1,1,2,0,False,True,False,False,False,7.174881457505419,0,0,0
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50,40.0,9.85,20.0,Silver,Sapphire,['Date'],42.0,2750.0,1,12,1,4.060909582832911,3,0,1,1,1,1,0,True,False,False,False,False,4.060909582832911,0,0,0
Rado,True Thinline,Ceramic,Leather,Quartz,30,39.0,5.0,22.0,Black,Sapphire,['None'],55.0,1600.0,0,13,0,7.7999844000312,3,0,1,1,0,2,0,False,True,False,False,False,15.5999688000624,0,0,0
Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50,40.0,10.5,20.0,Silver,Sapphire,['Date'],38.0,1400.0,1,12,1,3.809520181409351,3,0,1,1,1,2,0,False,True,False,False,False,7.619040362818702,0,0,0
Zenith,Elite,Stainless Steel,Leather,Automatic,50,40.5,8.15,22.0,White,Sapphire,['Date'],50.0,5500.0,1,12,1,4.969319056050238,4,0,1,2,1,2,0,False,True,False,False,False,9.938638112100476,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,38.0,10.88,25.0,Black,Sapphire,['Date'],46.0,8700.0,1,10,1,3.492643848672933,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50,42.0,11.15,20.0,Blue,Sapphire,['Date'],60.0,7900.0,1,12,1,3.766812765190345,5,0,1,2,1,1,0,True,False,False,False,False,3.766812765190345,0,0,0
Sinn,U50,Stainless Steel,Rubber,Automatic,225,45.0,14.7,22.0,Black,Sapphire,['None'],38.0,3350.0,0,10,1,3.061222407331696,3,0,1,2,0,2,1,False,True,False,True,False,6.122444814663392,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.5,20.0,Black,Sapphire,['Date'],70.0,8000.0,1,10,1,2.9599976320018944,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.5,20.0,Black,Sapphire,['Chronograph'],60.0,6500.0,3,12,1,3.1111088065860693,3,1,1,2,1,0,0,False,False,False,False,False,0.0,12,0,1
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30,37.0,9.96,17.0,Silver,Sapphire,['Date'],42.0,4500.0,1,12,1,3.714855707976197,3,0,1,1,1,1,0,True,False,False,False,False,3.714855707976197,0,0,0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,225,43.0,10.8,20.0,Blue,Sapphire,['None'],55.0,1800.0,0,9,0,3.9814777949279674,5,1,1,2,0,1,1,True,False,False,True,False,3.9814777949279674,9,0,1
Breitling,Superocean,Stainless Steel,Rubber,Automatic,225,42.0,13.32,20.0,Blue,Sapphire,['Date'],38.0,3600.0,1,11,1,3.1531507859228336,5,0,1,2,1,1,1,True,False,False,True,False,3.1531507859228336,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,['Date'],60.0,8900.0,1,12,1,3.333330623308436,5,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Panerai,Luminor Marina,Titanium,Leather,Manual,225,44.0,13.05,24.0,Black,Sapphire,['None'],56.0,5700.0,0,13,1,3.3716449259425856,3,0,1,2,0,1,1,True,False,False,True,False,3.3716449259425856,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.58,20.0,Silver,Sapphire,['None'],43.0,6800.0,0,11,1,5.145111945762605,3,0,1,1,0,0,0,False,False,False,False,False,0.0,0,0,0
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100,41.0,9.7,22.0,Black,Sapphire,['Date'],40.0,2500.0,1,11,1,4.226799766185809,3,0,1,2,1,1,2,True,False,False,False,True,4.226799766185809,0,0,0
Montblanc,1858,Bronze,Leather,Automatic,100,44.0,12.8,22.0,Black,Sapphire,['None'],42.0,5300.0,0,12,1,3.4374973144552228,3,0,1,2,0,1,2,True,False,False,False,True,3.4374973144552228,0,0,0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,['Date'],45.0,32750.0,1,10,1,4.879512193358803,5,1,1,2,1,3,2,False,False,True,False,True,14.638536580076408,10,5,1
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Black,Sapphire,['Date'],60.0,22000.0,1,10,1,4.18366920033755,3,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,3,1
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,21.0,Blue,Sapphire,['Date'],60.0,17500.0,1,11,1,3.727269338846056,5,0,1,2,1,3,2,False,False,True,False,True,11.181808016538167,0,5,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,13.1,22.0,Silver,Sapphire,['Date'],60.0,8500.0,1,12,1,3.129768603230074,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Hublot,Big Bang,Ceramic,Rubber,Automatic,100,44.5,14.5,22.0,Black,Sapphire,['Chronograph'],72.0,15000.0,3,15,1,3.068963400714896,3,0,1,2,1,1,2,True,False,False,False,True,3.068963400714896,0,0,0
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.4,19.0,White,Sapphire,['Chronograph'],50.0,6000.0,3,14,1,3.0645136576502763,4,0,1,1,1,2,2,False,True,False,False,True,6.129027315300553,0,0,0
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,20.0,Black,Sapphire,['Chronograph'],48.0,5000.0,3,14,1,3.3149145107225646,3,0,1,2,1,1,0,True,False,False,False,False,3.3149145107225646,0,0,0
Panerai,Luminor,Titanium,Rubber,Automatic,225,44.0,13.05,24.0,Black,Sapphire,['None'],72.0,8500.0,0,12,1,3.3716449259425856,3,0,1,2,0,1,1,True,False,False,True,False,3.3716449259425856,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,['Date'],54.0,9000.0,1,10,1,3.8602905695858736,5,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Blancpain,Fifty Fathoms,Stainless Steel,NATO,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['None'],102.5,12500.0,0,9,1,2.903223933403914,3,0,1,2,0,0,1,False,False,False,True,False,0.0,0,0,0
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30,40.0,5.5,21.0,Black,Sapphire,['None'],55.0,10000.0,0,13,1,7.272714049610819,3,0,1,1,0,2,0,False,True,False,False,False,14.545428099221638,0,0,0
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,['Date'],70.0,3800.0,1,12,1,3.228343914689831,3,0,1,2,1,1,1,True,False,False,True,False,3.228343914689831,0,0,0
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,225,44.0,13.05,22.0,Black,Sapphire,['Date'],72.0,8900.0,1,12,1,3.3716449259425856,3,0,1,2,1,1,1,True,False,False,True,False,3.3716449259425856,0,0,0
Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,['Chronograph'],72.0,16800.0,3,15,1,3.034480665875403,3,0,1,2,1,1,2,True,False,False,False,True,3.034480665875403,0,0,0
IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.9,12.3,20.0,Silver,Sapphire,['Date'],44.0,6900.0,1,12,1,3.32520054861744,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,['Date'],60.0,24500.0,1,10,1,4.18366920033755,5,1,1,2,1,3,0,False,False,True,False,False,12.55100760101265,10,5,1
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.5,11.0,21.0,Silver,Sapphire,['Date'],40.0,19500.0,1,11,1,3.7727238429783245,3,0,1,2,1,3,2,False,False,True,False,True,11.318171528934974,0,3,0
Breguet,Classique,White Gold,Leather,Automatic,30,39.0,8.65,20.0,Silver,Sapphire,['Date'],55.0,24500.0,1,15,1,4.508665307901378,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Piaget,Altiplano,Rose Gold,Leather,Manual,30,38.0,6.0,20.0,White,Sapphire,['None'],43.0,20800.0,0,14,1,6.333322777795371,4,0,1,1,0,2,0,False,True,False,False,False,12.666645555590742,0,0,0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,225,45.0,15.5,23.0,Black,Sapphire,['Date'],102.5,13000.0,1,10,1,2.903223933403914,3,0,1,2,1,0,1,False,False,False,True,False,0.0,0,0,0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,41.0,10.88,22.0,Black,Sapphire,['Date'],46.0,9700.0,1,10,1,3.7683788893576384,3,1,1,2,1,0,2,False,False,False,False,True,0.0,10,0,1
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50,42.0,14.05,22.0,Silver,Sapphire,['Chronograph'],50.0,7400.0,3,14,1,2.9893217157852554,3,0,1,2,1,2,0,False,True,False,False,False,5.978643431570511,0,0,0
Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200,44.0,14.2,22.0,Black,Sapphire,['Date'],70.0,4300.0,1,11,1,3.098589367190587,3,0,1,2,1,1,1,True,False,False,True,False,3.098589367190587,0,0,0
Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,100,39.8,9.08,20.0,Silver,Sapphire,['Date'],42.0,6500.0,1,10,1,4.383255084520832,3,1,1,1,1,1,2,True,False,False,False,True,4.383255084520832,10,0,1
Omega,Speedmaster,Stainless Steel,Leather,Manual,50,42.0,13.7,20.0,Black,Non-Sapphire,['Chronograph'],48.0,5500.0,3,11,1,3.065691192926137,3,0,1,2,1,0,0,False,False,False,False,False,0.0,0,0,0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.4,20.0,Black,Sapphire,"['GMT', 'Date']",70.0,9100.0,3,12,1,3.225803850158185,3,1,1,1,1,0,2,False,False,False,False,True,0.0,12,0,1
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.8,20.0,Silver,Sapphire,['Date'],70.0,7500.0,1,12,1,4.545449380171159,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,['Date'],60.0,20900.0,1,10,1,3.9423039016308636,5,1,1,2,1,3,0,False,False,True,False,False,11.826911704892591,10,5,1
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60,40.0,10.8,20.0,Black,Sapphire,['Date'],42.0,4200.0,1,12,1,3.703700274351598,3,0,1,1,1,0,2,False,False,False,False,True,0.0,0,0,0
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30,39.0,8.6,20.0,Silver,Sapphire,['Date'],48.0,22000.0,1,15,1,4.534878447815759,3,0,1,1,1,3,0,False,False,True,False,False,13.604635343447276,0,3,0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,225,37.0,9.5,17.0,Blue,Sapphire,['None'],55.0,1700.0,0,9,0,3.894732742386587,5,1,1,1,0,1,1,True,False,False,True,False,3.894732742386587,9,0,1
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,['Date'],70.0,3600.0,1,12,1,3.228343914689831,3,0,1,2,1,1,1,True,False,False,True,False,3.228343914689831,0,0,0
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,37.0,12.5,20.0,Silver,Sapphire,['Date'],70.0,8900.0,1,10,1,2.9599976320018944,3,1,1,1,1,0,2,False,False,False,False,True,0.0,10,0,1
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.5,20.0,Black,Sapphire,['Chronograph'],60.0,6800.0,3,12,1,3.1111088065860693,3,1,1,2,1,0,0,False,False,False,False,False,0.0,12,0,1
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,225,43.0,10.8,21.0,Blue,Sapphire,['Date'],55.0,2600.0,1,10,0,3.9814777949279674,5,1,1,2,1,1,1,True,False,False,True,False,3.9814777949279674,10,0,1
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200,42.0,14.35,20.0,Black,Sapphire,['Date'],38.0,4400.0,1,12,1,2.9268272286918267,3,0,1,2,1,1,1,True,False,False,True,False,2.9268272286918267,0,0,0
Cartier,Ballon Bleu,Rose Gold,Leather,Automatic,30,37.0,9.96,18.0,Silver,Sapphire,['Date'],42.0,13000.0,1,15,1,3.714855707976197,3,0,1,1,1,1,0,True,False,False,False,False,3.714855707976197,0,0,0
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,39.0,8.5,20.0,Silver,Sapphire,['Date'],70.0,7500.0,1,12,1,4.588229896200122,3,0,1,1,1,0,0,False,False,False,False,False,0.0,0,0,0
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200,41.0,14.5,22.0,Black,Sapphire,['GMT'],70.0,4500.0,2,11,1,2.8275842568384437,3,1,1,2,1,1,1,True,False,False,True,False,2.8275842568384437,11,0,1
Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.45,19.0,White,Sapphire,['Chronograph'],50.0,6900.0,3,14,1,3.052206383769973,4,0,1,1,1,2,2,False,True,False,False,True,6.104412767539946,0,0,0
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,225,41.0,12.65,20.0,Black,Sapphire,['Date'],64.0,1800.0,1,10,1,3.2411041572299153,3,1,1,2,1,1,1,True,False,False,True,False,3.2411041572299153,10,0,1
Oris,Divers Sixty-Five,Stainless Steel,Leather,Automatic,100,40.0,12.9,20.0,Blue,Sapphire,['Date'],38.0,1500.0,1,12,1,3.1007727900986124,5,0,1,1,1,1,2,True,False,False,False,True,3.1007727900986124,0,0,0
