Brand,Model,Case Material,Strap Material,Crystal Material,Dial Color,Case Diameter,Case Thickness,Band Width,Case_Size_Category,Case_Proportion,Movement Type,Movement_Complexity,Power Reserve,Complications,Has_Complication,Water Resistance,Water_Tier,Dial_Score,Complication_Score,Material_Match,Luxury_Index,Brand_Tier,Model_Tier,Brand_Tier_label_encoded,Model_Tier_label_encoded,Brand_Tier_target_encoded,Model_Tier_target_encoded,Brand_Case,Brand_Crystal,Material_Crystal_Movement,Price
Cartier,Santos,Stainless Steel,Stainless Steel,Sapphire,Silver,39.8,9.08,21.5,1,4.383255084520832,Automatic,1,42.0,['Date'],1,100,Standard,3,1,1,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.383255084520832,1,3,7500.0
Zenith,Elite,Stainless Steel,Leather,Sapphire,Silver,40.5,9.15,20.0,2,4.42622467079271,Automatic,1,50.0,['None'],0,50,Basic,3,0,0,11,Other,Other,2,2,6734.697638357517,5907.872360090675,8.85244934158542,2,2,4500.0
Panerai,Luminor Base,Stainless Steel,Leather,Sapphire,Black,44.0,10.5,24.0,2,4.190472199550286,Manual,1,56.0,['None'],0,100,Standard,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,4.190472199550286,1,2,5800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Silver,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,21000.0
IWC,Pilot's Watch,Stainless Steel,Leather,Sapphire,Black,41.0,10.86,20.0,2,3.775318807257084,Automatic,1,42.0,['Date'],1,60,Standard,3,1,0,12,High-End,Other,0,2,10600.00009784788,5907.872360090675,0.0,0,2,3800.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,12.7,22.0,2,3.228343914689831,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.228343914689831,1,2,3900.0
Longines,Conquest VHP,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,12.1,20.0,2,3.3884269517132632,Quartz,0,55.0,"['Chronograph', 'Date']",1,50,Basic,3,4,1,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3884269517132632,1,2,1500.0
Sinn,U1,Stainless Steel,Rubber,Sapphire,Black,44.0,14.3,22.0,2,3.076920925230122,Automatic,1,38.0,['None'],0,225,Professional,3,0,0,10,Other,Other,2,2,6734.697638357517,5907.872360090675,6.153841850460244,2,2,2500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,20.0,2,4.915656728124423,Automatic,1,45.0,"['Date', 'Power Reserve', 'Moon Phase']",1,120,Standard,5,5,1,14,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Audemars Piguet,Royal Oak,Rose Gold,Gold,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,0,16,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,2,32750.0
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,11.0,22.0,2,3.727269338846056,Automatic,1,40.0,"['Date', 'Power Reserve']",1,150,Standard,5,3,1,12,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,3,21000.0
A. Lange & Sohne,Saxonia,White Gold,Leather,Sapphire,Silver,38.5,7.8,18.0,1,4.935891107831913,Manual,1,45.0,['None'],0,30,Basic,3,0,0,14,Very High-End,Other,3,2,24346.236129514768,5907.872360090675,14.807673323495738,3,2,23000.0
Breguet,Classique,Rose Gold,Leather,Sapphire,Silver,38.5,8.25,20.0,1,4.666661010107867,Manual,1,65.0,['Power Reserve'],1,30,Basic,3,2,0,16,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,23000.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Blue,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['None'],0,30,Basic,5,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8500.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,14000.0
Hublot,Big Bang,Titanium,Rubber,Sapphire,Blue,44.0,14.5,24.0,2,3.034480665875403,Automatic,1,72.0,['Chronograph'],1,100,Standard,5,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.034480665875403,1,2,16000.0
Panerai,Luminor Marina,Stainless Steel,Leather,Sapphire,Black,44.0,15.65,24.0,2,2.8114998009585936,Automatic,1,72.0,['None'],0,225,Professional,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.8114998009585936,1,2,8500.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Silver,42.0,12.75,20.0,2,3.294115063439166,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.588230126878332,2,2,6000.0
Piaget,Altiplano,White Gold,Leather,Sapphire,Silver,38.0,6.1,20.0,1,6.229497984429535,Manual,1,43.0,['None'],0,30,Basic,3,0,0,14,Other,Other,2,2,6734.697638357517,5907.872360090675,12.45899596885907,2,2,16500.0
Seiko,Prospex,Stainless Steel,Rubber,Sapphire,Blue,44.3,12.7,20.0,2,3.4881862297746222,Automatic,1,41.0,['Day/Date'],1,200,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.4881862297746222,1,2,1200.0
Panerai,Luminor Due,Stainless Steel,Leather,Sapphire,Black,38.0,11.2,20.0,1,3.3928541135231134,Automatic,1,72.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3928541135231134,1,2,6500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Blue,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,46.0,"['Chronograph', 'Moon Phase']",1,30,Basic,5,5,0,16,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,9800.0
Blancpain,Fifty Fathoms,Titanium,Rubber,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['None'],0,225,Professional,3,0,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,16800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,9.5,20.0,2,4.315784930752705,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.947354792258114,3,3,19800.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,20.0,2,4.915656728124423,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Breguet,Classique,Rose Gold,Leather,Sapphire,White,40.0,6.8,20.0,1,5.8823442906701615,Automatic,1,55.0,['None'],0,30,Basic,4,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,19000.0
Vacheron Constantin,Patrimony,White Gold,Leather,Sapphire,Silver,40.0,6.79,20.0,1,5.8910075242893605,Manual,1,65.0,['None'],0,30,Basic,3,0,0,14,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,17.67302257286808,3,2,18500.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,44.0,14.97,22.0,2,2.9392097934470316,Automatic,1,42.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,2.9392097934470316,1,2,5800.0
Longines,Conquest,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,13.2,20.0,2,3.1060582529861724,Automatic,1,54.0,['Chronograph'],1,225,Professional,3,3,1,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.1060582529861724,1,3,2200.0
Montblanc,1858,Stainless Steel,Leather,Sapphire,Black,44.0,12.3,22.0,2,3.5772328640383217,Manual,1,50.0,['None'],0,30,Basic,3,0,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.5772328640383217,1,2,3500.0
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Sapphire,Black,40.0,12.5,20.0,1,3.199997440002048,Automatic,1,70.0,"['GMT', 'Date']",1,100,Standard,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,9950.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,13.7,20.0,2,3.065691192926137,Automatic,1,48.0,['Chronograph'],1,50,Basic,3,3,1,9,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,4950.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.8,8.3,20.0,2,4.915656728124423,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.74697018437327,3,3,32750.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,22000.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,46.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,7500.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Sapphire,Silver,39.0,7.58,20.0,1,5.145111945762605,Automatic,1,70.0,['Date'],1,50,Basic,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8900.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,13900.0
Breguet,Classique,Rose Gold,Leather,Sapphire,Silver,40.0,6.8,20.0,1,5.8823442906701615,Manual,1,65.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,20500.0
Ulysse Nardin,Marine,Titanium,Rubber,Sapphire,Blue,44.0,14.5,22.0,2,3.034480665875403,Automatic,1,60.0,['Date'],1,225,Professional,5,1,0,13,Mid-Range,High-End,1,0,6528.445154051944,10828.963771655724,3.034480665875403,1,2,9500.0
Hublot,Big Bang,Ceramic,Rubber,Sapphire,Black,41.0,14.5,20.0,2,2.8275842568384437,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.8275842568384437,1,2,16000.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,White,38.0,12.75,20.0,1,2.980389819302103,Automatic,1,50.0,['Chronograph'],1,100,Standard,4,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,5.960779638604206,2,2,5500.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,11.8,20.0,2,3.474573326632774,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,8200.0
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Non-Sapphire,Black,42.0,13.2,20.0,2,3.1818157713516886,Manual,1,48.0,"['Chronograph', 'Tachymeter']",1,50,Basic,3,5,1,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,5500.0
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Sapphire,Silver,37.0,9.96,18.0,1,3.714855707976197,Automatic,1,42.0,['Date'],1,30,Basic,3,1,1,10,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.714855707976197,1,3,6500.0
Breitling,Superocean,Stainless Steel,Rubber,Sapphire,Blue,42.0,13.32,20.0,2,3.1531507859228336,Automatic,1,38.0,['Date'],1,225,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.1531507859228336,1,2,3600.0
Patek Philippe,Calatrava,Rose Gold,Leather,Sapphire,White,37.0,7.45,18.0,1,4.966436286662702,Manual,1,44.0,['None'],0,30,Basic,4,0,0,14,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.899308859988107,3,2,18000.0
Hublot,Big Bang,Titanium,Rubber,Sapphire,Black,42.0,14.5,24.0,2,2.89654972651743,Automatic,1,72.0,"['Chronograph', 'Date']",1,100,Standard,3,4,0,16,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,2.89654972651743,1,2,8900.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.4,23.0,2,2.922076024625958,Automatic,1,102.5,"['Date', 'Rotating Bezel']",1,225,Professional,3,2,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,13500.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Blue,41.0,10.4,20.0,2,3.9423039016308636,Automatic,1,60.0,['Date'],1,50,Basic,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.826911704892591,3,3,26000.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,Black,42.0,12.75,22.0,2,3.294115063439166,Automatic,1,50.0,['Chronograph'],1,100,Standard,3,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.588230126878332,2,2,6500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.5,12.3,22.0,2,3.373980996763417,Automatic,1,60.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,7800.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Sapphire,Silver,38.0,7.58,20.0,1,5.013185998435358,Automatic,1,70.0,['None'],0,50,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,4500.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,22.0,2,4.879512193358803,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,29800.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,23100.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['None'],0,30,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,7950.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Blue,41.5,11.0,22.0,2,3.7727238429783245,Automatic,1,40.0,['Date'],1,150,Standard,5,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.318171528934974,3,2,18900.0
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['Date'],1,225,Professional,3,1,0,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12800.0
Hublot,Big Bang,Ceramic,Rubber,Sapphire,Black,44.0,14.5,25.0,2,3.034480665875403,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.034480665875403,1,2,17900.0
Breguet,Classique,Rose Gold,Leather,Sapphire,Silver,39.0,8.65,20.0,1,4.508665307901378,Manual,1,40.0,['None'],0,30,Basic,3,0,0,14,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,15200.0
Ulysse Nardin,Marine,Stainless Steel,Leather,Sapphire,Blue,42.2,14.2,22.0,2,2.9718288930782446,Automatic,1,60.0,['Date'],1,100,Standard,5,1,0,12,Mid-Range,High-End,1,0,6528.445154051944,10828.963771655724,2.9718288930782446,1,2,8400.0
Zenith,Defy,Titanium,Rubber,Sapphire,Blue,41.0,10.75,22.0,2,3.8139499405116832,Automatic,1,50.0,['Chronograph'],1,100,Standard,5,3,0,15,Other,Other,2,2,6734.697638357517,5907.872360090675,7.6278998810233665,2,2,9500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Silver,42.0,10.88,22.0,2,3.8602905695858736,Automatic,1,46.0,['None'],0,100,Standard,3,0,1,9,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,9200.0
Panerai,Luminor,Stainless Steel,Leather,Sapphire,Black,44.0,13.05,24.0,2,3.3716449259425856,Manual,1,56.0,['None'],0,100,Standard,3,0,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,7500.0
Seiko,Prospex,Stainless Steel,Rubber,Non-Sapphire,Blue,43.0,13.2,22.0,2,3.257573289717205,Automatic,1,50.0,['Date'],1,200,Professional,5,1,0,8,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.257573289717205,0,1,1300.0
Tissot,Le Locle,Stainless Steel,Leather,Sapphire,Silver,39.3,9.75,20.0,1,4.030765096651183,Automatic,1,38.0,['Date'],1,30,Basic,3,1,0,12,Other,Other,2,2,6734.697638357517,5907.872360090675,8.061530193302366,2,2,650.0
Longines,Master Collection,Stainless Steel,Leather,Sapphire,Black,40.0,10.25,20.0,1,3.902435217136374,Automatic,1,64.0,['Date'],1,30,Basic,3,1,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.902435217136374,1,2,2500.0
Hamilton,Jazzmaster,Stainless Steel,Leather,Sapphire,Silver,40.0,11.15,20.0,1,3.5874407287527097,Automatic,1,80.0,['Date'],1,50,Basic,3,1,0,12,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,7.174881457505419,2,2,1150.0
Montblanc,Heritage,Stainless Steel,Leather,Sapphire,Silver,40.0,9.85,20.0,1,4.060909582832911,Automatic,1,42.0,['Date'],1,50,Basic,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.060909582832911,1,2,2750.0
Rado,True Thinline,Ceramic,Leather,Sapphire,Black,39.0,5.0,22.0,1,7.7999844000312,Quartz,0,55.0,['None'],0,30,Basic,3,0,0,13,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,15.5999688000624,2,1,1600.0
Frederique Constant,Classics,Stainless Steel,Leather,Sapphire,Silver,40.0,10.5,20.0,1,3.809520181409351,Automatic,1,38.0,['Date'],1,50,Basic,3,1,0,12,Other,Mid-Range,2,1,6734.697638357517,7596.0792482079405,7.619040362818702,2,2,1400.0
Zenith,Elite,Stainless Steel,Leather,Sapphire,White,40.5,8.15,22.0,2,4.969319056050238,Automatic,1,50.0,['Date'],1,50,Basic,4,1,0,12,Other,Other,2,2,6734.697638357517,5907.872360090675,9.938638112100476,2,2,5500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Black,38.0,10.88,25.0,1,3.492643848672933,Automatic,1,46.0,['Date'],1,100,Standard,3,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,8700.0
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Sapphire,Blue,42.0,11.15,20.0,2,3.766812765190345,Automatic,1,60.0,['Date'],1,50,Basic,5,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.766812765190345,1,2,7900.0
Sinn,U50,Stainless Steel,Rubber,Sapphire,Black,45.0,14.7,22.0,2,3.061222407331696,Automatic,1,38.0,['None'],0,225,Professional,3,0,0,10,Other,Other,2,2,6734.697638357517,5907.872360090675,6.122444814663392,2,2,3350.0
Rolex,Datejust,Stainless Steel,Stainless Steel,Sapphire,Black,37.0,12.5,20.0,1,2.9599976320018944,Automatic,1,70.0,['Date'],1,100,Standard,3,1,1,10,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,8000.0
Omega,Speedmaster,Stainless Steel,Stainless Steel,Sapphire,Black,42.0,13.5,20.0,2,3.1111088065860693,Automatic,1,60.0,['Chronograph'],1,50,Basic,3,3,1,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,3,6500.0
Cartier,Ballon Bleu,Stainless Steel,Leather,Sapphire,Silver,37.0,9.96,17.0,1,3.714855707976197,Automatic,1,42.0,['Date'],1,30,Basic,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.714855707976197,1,2,4500.0
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Sapphire,Blue,43.0,10.8,20.0,2,3.9814777949279674,Quartz,0,55.0,['None'],0,225,Professional,5,0,1,9,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.9814777949279674,1,2,1800.0
Breitling,Superocean,Stainless Steel,Rubber,Sapphire,Blue,42.0,13.32,20.0,2,3.1531507859228336,Automatic,1,38.0,['Date'],1,225,Professional,5,1,0,11,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.1531507859228336,1,2,3600.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Blue,41.0,12.3,22.0,2,3.333330623308436,Automatic,1,60.0,['Date'],1,30,Basic,5,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8900.0
Panerai,Luminor Marina,Titanium,Leather,Sapphire,Black,44.0,13.05,24.0,2,3.3716449259425856,Manual,1,56.0,['None'],0,225,Professional,3,0,0,13,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,5700.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,22.0,2,4.879512193358803,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,32750.0
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Sapphire,Silver,39.0,7.58,20.0,1,5.145111945762605,Automatic,1,43.0,['None'],0,50,Basic,3,0,0,11,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,6800.0
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Sapphire,Black,41.0,9.7,22.0,2,4.226799766185809,Automatic,1,40.0,['Date'],1,100,Standard,3,1,0,11,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,4.226799766185809,1,2,2500.0
Montblanc,1858,Bronze,Leather,Sapphire,Black,44.0,12.8,22.0,2,3.4374973144552228,Automatic,1,42.0,['None'],0,100,Standard,3,0,0,12,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.4374973144552228,1,2,5300.0
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Sapphire,Blue,40.5,8.3,22.0,2,4.879512193358803,Automatic,1,45.0,['Date'],1,120,Standard,5,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,14.638536580076408,3,3,32750.0
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Sapphire,Black,41.0,9.8,20.0,2,4.18366920033755,Automatic,1,60.0,['Date'],1,50,Basic,3,1,1,10,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,12.55100760101265,3,3,22000.0
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Sapphire,Blue,41.0,11.0,21.0,2,3.727269338846056,Automatic,1,60.0,['Date'],1,150,Standard,5,1,0,11,Very High-End,Very High-End,3,3,24346.236129514768,23853.345678284422,11.181808016538167,3,2,17500.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,41.0,13.1,22.0,2,3.129768603230074,Automatic,1,60.0,['Date'],1,30,Basic,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,8500.0
Hublot,Big Bang,Ceramic,Rubber,Sapphire,Black,44.5,14.5,22.0,2,3.068963400714896,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.068963400714896,1,2,15000.0
Zenith,El Primero,Stainless Steel,Leather,Sapphire,White,38.0,12.4,19.0,1,3.0645136576502763,Automatic,1,50.0,['Chronograph'],1,100,Standard,4,3,0,14,Other,High-End,2,0,6734.697638357517,10828.963771655724,6.129027315300553,2,2,6000.0
Chopard,Mille Miglia,Stainless Steel,Leather,Sapphire,Black,42.0,12.67,20.0,2,3.3149145107225646,Automatic,1,48.0,['Chronograph'],1,50,Basic,3,3,0,14,Mid-Range,Other,1,2,6528.445154051944,5907.872360090675,3.3149145107225646,1,2,5000.0
Panerai,Luminor,Titanium,Rubber,Sapphire,Black,44.0,13.05,24.0,2,3.3716449259425856,Automatic,1,72.0,['None'],0,225,Professional,3,0,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,8500.0
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Sapphire,Blue,42.0,10.88,22.0,2,3.8602905695858736,Automatic,1,54.0,['Date'],1,100,Standard,5,1,1,10,High-End,Mid-Range,0,1,10600.00009784788,7596.0792482079405,0.0,0,3,9000.0
Blancpain,Fifty Fathoms,Stainless Steel,NATO,Sapphire,Black,45.0,15.5,23.0,2,2.903223933403914,Automatic,1,102.5,['None'],0,225,Professional,3,0,0,9,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,12500.0
Bulgari,Octo Finissimo,Titanium,Leather,Sapphire,Black,40.0,5.5,21.0,1,7.272714049610819,Automatic,1,55.0,['None'],0,30,Basic,3,0,0,13,Other,Very High-End,2,3,6734.697638357517,23853.345678284422,14.545428099221638,2,2,10000.0
Tudor,Black Bay,Stainless Steel,Leather,Sapphire,Black,41.0,12.7,22.0,2,3.228343914689831,Automatic,1,70.0,['Date'],1,200,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.228343914689831,1,2,3800.0
Panerai,Luminor Marina,Stainless Steel,Leather,Sapphire,Black,44.0,13.05,22.0,2,3.3716449259425856,Automatic,1,72.0,['Date'],1,225,Professional,3,1,0,12,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.3716449259425856,1,2,8900.0
Hublot,Big Bang,Titanium,Rubber,Sapphire,Black,44.0,14.5,25.0,2,3.034480665875403,Automatic,1,72.0,['Chronograph'],1,100,Standard,3,3,0,15,Mid-Range,Mid-Range,1,1,6528.445154051944,7596.0792482079405,3.034480665875403,1,2,16800.0
IWC,Portugieser,Stainless Steel,Leather,Sapphire,Silver,40.9,12.3,20.0,2,3.32520054861744,Automatic,1,44.0,['Date'],1,30,Basic,3,1,0,12,High-End,High-End,0,0,10600.00009784788,10828.963771655724,0.0,0,2,6900.0
